id;type;name;link;description;icon;longitude;latitude
51;Feature;Rongcol village Pump;;;PumpSVG-03;30.06139;07.00718
52;Feature;Tiengot village Pump;;;PumpSVG-02;29.42751;06.45681
53;Feature;Kotic village Pump;;;PumpSVG-04;29.43536;06.44964
54;Feature;Ramruel Pump;;;PumpSVG-04;30.39094;06.35996
55;Feature;Machuor Centre Pump;;;PumpSVG-03;30.26104;06.45205
56;Feature;Pul-Akon Pump;;;PumpSVG-03;30.39658;06.42459
57;Feature;Anguor / Aguor Pump;;;PumpSVG-02;30.35254;06.42939
58;Feature;Maboryau Pump;;;PumpSVG-02;30.38540;06.35759
59;Feature;Wardong Pump;;;PumpSVG-02;30.38529;06.37109
60;Feature;Boma Pump;;;PumpSVG-02;33.58134;06.12575 
61;Feature;Ziwani Pump;;;PumpSVG-02;39.3757;00.2934
62;Feature;Mathengeni Pump;;;PumpSVG-03;39.3811;00.2811
63;Feature;Gbafio 2 Pump;;;PumpSVG-03;18.57325;4.40586
64;Feature;Blantyre Pump;;;PumpSVG-04;35.02875;-15.77253
65;Feature;Bukabwa Pump;;;PumpSVG-02;34.121631;-1.418301
66;Feature;Nyankanga Pump;;;PumpSVG-02;33.91133;-1.597805
67;Feature;Kitasakwa Village Pump;;;PumpSVG-04;34.046577;-1.56858
68;Feature;Kerewan Pump;;;PumpSVG-04;-16.62619;13.37285
69;Feature;Massai Village 1 Pump;;;PumpSVG-02;37.274325;-2.720492
70;Feature;Musoma 2 School Pump;;;PumpSVG-02;34.3851;-1.34466
71;Feature;Musoma 3 Pump;;;PumpSVG-03;34.28205;-1.3306
72;Feature;Musoma 4 Pump;;;PumpSVG-02;34.28205;-1.3306
73;Feature;Kitenga Village Pump;;;PumpSVG-04;33.78536;-1.50204
74;Feature;Tingerime Pump;;;PumpSVG-04;34.121631;-1.418301
75;Feature;Bona Pump;;;PumpSVG-03;-3.99934;11.17416
76;Feature;Sissa Pump;;;PumpSVG-03;-4.04;11.4
77;Feature;Keur Omar Jawara Pump;;;PumpSVG-02;-16.329536;13.571786
78;Feature;Banjulinding Pump;;;PumpSVG-02;-16.656436;13.373147
79;Feature;Kinesi school Pump;;;PumpSVG-02;33.849907;-1.436655
80;Feature;Buturi School Pump;;;PumpSVG-02;34.005933;-1.418158
81;Feature;Ibasa Mbugani MVP Pump;;;PumpSVG-02;32.362994;-5.033012
82;Feature;Mbola Mbugani MVP Pump;;;PumpSVG-03;32.67334;-5.024599
83;Feature;Isenga Shuleni MVP Pump;;;PumpSVG-03;32.3827;-5.092022
84;Feature;Pulu Pump;;;PumpSVG-04;32.33369;-5.042568
85;Feature;Ukalwa 1 Pump;;;PumpSVG-02;32.362226;-4.573552
86;Feature;Ukalwa II Pump;;;PumpSVG-02;32.362226;-4.574838
87;Feature;Inonelwa Kiloleli Pump;;;PumpSVG-04;32.373558;-4.564658
88;Feature;Mpungu Magharibi Pump;;;PumpSVG-04;32.351835;-4.553292
89;Feature;Ibiri secondary school MVP Pump;;;PumpSVG-02;32.341066;-4.54596
90;Feature;Kalenge Pump;;;PumpSVG-02;-16.45956;13.17716
91;Feature;Kalenge North Pump;;;PumpSVG-03;-16.46037;13.17937
92;Feature;Mbola A Izenga Pump;;;PumpSVG-02;32.372448;-5.01228
93;Feature;Njawara school Pump;;;PumpSVG-04;-16.076358;13.573225
